station,label,latitude,longitude
87334482,NEUVILLE UNIVERSITE,49.0141135729,2.07888615344
87366922,SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX,48.8950238658,2.07194236158
87381111,PONT CARDINET,48.8875699026,2.31401853193
87381129,CLICHY LEVALLOIS,48.8969214742,2.29837992753
87381137,ASNIERES SUR SEINE,48.9057768994,2.28332241877
87381459,CONFLANS FIN D'OISE,48.9891848652,2.07455911528
87381657,ACHERES VILLE,48.9700946335,2.07739969014
87381905,CERGY PREFECTURE,49.0365179881,2.07971720177
87382002,BECON LES BRUYERES,48.9055805862,2.26857173893
87382200,COURBEVOIE,48.8982514361,2.24797129852
87382218,LA DEFENSE,48.8934895769,2.23827508094
87382259,GARCHES MARNES LA COQUETTE,48.8383162045,2.1868735901
87382267,VAUCRESSON,48.836784962,2.15255479028
87382333,CHAVILLE RIVE DROITE,48.812136312,2.18783398094
87382341,SEVRES VILLE D'AVRAY,48.8274217325,2.20055846234
87382358,SAINT-CLOUD,48.8443540357,2.21690859829
87382366,LE VAL D'OR,48.8569094152,2.21677050352
87382374,SURESNES MONT VALERIEN,48.8717069629,2.22110944905
87382382,PUTEAUX,48.8834917758,2.2335382863
87382432,LA CELLE SAINT-CLOUD,48.8425404524,2.1379646985
87382440,BOUGIVAL,48.8542235026,2.13224046835
87382457,LOUVECIENNES,48.8610558392,2.12308717495
87382465,MARLY LE ROI,48.8713498332,2.09662765703
87382473,L'ETANG LA VILLE,48.8681535535,2.07679348122
87382481,SAINT-NOM LA BRETECHE FORET DE MARLY,48.8678965333,2.05095165696
87382499,CERGY SAINT-CHRISTOPHE,49.0497023367,2.03445484969
87382655,CERGY LE HAUT,49.0485388268,2.01227395158
87382804,SAINT-GERMAIN EN LAYE GRANDE CEINTURE,48.9031868487,2.07312748284
87382812,MAREIL MARLY,48.8814243962,2.07932950165
87382861,VERSAILLES RIVE DROITE,48.8096143342,2.1354511829
87382879,MONTREUIL,48.8067100466,2.15124665346
87382887,VIROFLAY RIVE DROITE,48.8056300572,2.16835422409
87384008,PARIS SAINT-LAZARE (GARE SAINT-LAZARE),48.875357836,2.32473327749
87386003,LA GARENNE COLOMBES,48.9094340652,2.23992160213
87386300,LES VALLEES,48.9134465868,2.25785779479
87386318,NANTERRE UNIVERSITÉ,48.9015475909,2.21516720292
87386409,HOUILLES CARRIERES SUR SEINE,48.9208344027,2.18450665388
87386417,SARTROUVILLE,48.9377726159,2.15721464809
87386425,MAISONS LAFFITTE,48.9459130297,2.14464783894
87393876,NOISY LE ROI,48.8415623011,2.06203082551
