﻿Depart,Arrivée,Path,Order Path,Order Point,Code Ligne,Libelle Ligne,Nom Voie,Idreseau,Longitude,Latitude
87382499,87382655,"00",11,0,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308586,2.02128,49.050919
87382499,87382655,"00",11,1,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308587,2.017875,49.050963
87382499,87382655,"00",11,2,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308588,2.012704,49.048964
87381905,87382499,"00",10,0,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308576,2.078349,49.037255
87381905,87382499,"00",10,1,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308577,2.076284,49.03877
87381905,87382499,"00",10,2,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308578,2.074641,49.039963
87381905,87382499,"00",10,3,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308579,2.074007,49.040429
87381905,87382499,"00",10,4,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308580,2.071549,49.042665
87381905,87382499,"00",10,5,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308581,2.070678,49.043645
87381905,87382499,"00",10,6,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308582,2.065377,49.046551
87381905,87382499,"00",10,7,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308583,2.064993,49.046642
87381905,87382499,"00",10,8,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308584,2.061473,49.047027
87381905,87382499,"00",10,9,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308585,2.058782,49.047194
87334482,87381905,"00",9,0,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308568,2.080776,49.017929
87334482,87381905,"00",9,1,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308569,2.08408,49.019861
87334482,87381905,"00",9,2,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308570,2.086283,49.021086
87334482,87381905,"00",9,3,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308571,2.089725,49.024033
87334482,87381905,"00",9,4,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308572,2.089825,49.024202
87334482,87381905,"00",9,5,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308573,2.087977,49.031641
87334482,87381905,"00",9,6,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308574,2.083127,49.034184
87334482,87381905,"00",9,7,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308575,2.079906,49.036147
87381459,87334482,"00",8,0,338000,Ligne d'Achères à Pontoise,V1,313709,2.074324,48.989323
87381459,87334482,"00",8,1,338000,Ligne d'Achères à Pontoise,V1,313710,2.073596,48.991741
87381459,87334482,"00",8,2,338000,Ligne d'Achères à Pontoise,V1,313711,2.073307,48.993852
87381459,87334482,"00",8,3,338000,Ligne d'Achères à Pontoise,V1,313712,2.073354,48.995934
87381459,87334482,"00",8,4,338000,Ligne d'Achères à Pontoise,V1,313713,2.073423,48.998016
87381459,87334482,"00",8,5,338000,Ligne d'Achères à Pontoise,V1,313714,2.07319,48.999969
87381459,87334482,"00",8,6,338000,Ligne d'Achères à Pontoise,V1,313715,2.073262,49.001771
87381459,87334482,"00",8,7,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308563,2.073468,49.002834
87381459,87334482,"00",8,8,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308564,2.073636,49.003976
87381459,87334482,"00",8,9,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308565,2.076255,49.009428
87381459,87334482,"00",8,10,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308566,2.076695,49.009892
87381459,87334482,"00",8,11,326000,Ligne de la bifurcation de Neuville à Cergy-Préfecture,V1,308567,2.078332,49.013442
87381657,87381459,"00",7,0,338000,Ligne d'Achères à Pontoise,V1,313706,2.077987,48.978023
87381657,87381459,"00",7,1,338000,Ligne d'Achères à Pontoise,V1,313707,2.077375,48.982906
87381657,87381459,"00",7,2,338000,Ligne d'Achères à Pontoise,V1,313708,2.076555,48.984787
87386425,87381657,"00",6,0,340000,Ligne de Paris-St-Lazare au Havre,V1,313849,2.143509,48.946378
87386425,87381657,"00",6,1,340000,Ligne de Paris-St-Lazare au Havre,V1,313850,2.142256,48.947235
87386425,87381657,"00",6,2,340000,Ligne de Paris-St-Lazare au Havre,V1,313851,2.14216,48.9473
87386425,87381657,"00",6,3,340000,Ligne de Paris-St-Lazare au Havre,V1,313852,2.140059,48.948689
87386425,87381657,"00",6,4,340000,Ligne de Paris-St-Lazare au Havre,V1,313853,2.137238,48.950515
87386425,87381657,"00",6,5,340000,Ligne de Paris-St-Lazare au Havre,V1,313854,2.135879,48.951379
87386425,87381657,"00",6,6,340000,Ligne de Paris-St-Lazare au Havre,V1,313855,2.134718,48.95212
87386425,87381657,"00",6,7,338000,Ligne d'Achères à Pontoise,V1,313684,2.131957,48.953994
87386425,87381657,"00",6,8,338000,Ligne d'Achères à Pontoise,V1,313685,2.12979,48.955263
87386425,87381657,"00",6,9,338000,Ligne d'Achères à Pontoise,V1,313686,2.127206,48.956462
87386425,87381657,"00",6,10,338000,Ligne d'Achères à Pontoise,V1,313687,2.125413,48.957376
87386425,87381657,"00",6,11,338000,Ligne d'Achères à Pontoise,V1,313688,2.123607,48.95825
87386425,87381657,"00",6,12,338000,Ligne d'Achères à Pontoise,V1,313689,2.121219,48.958974
87386425,87381657,"00",6,13,338000,Ligne d'Achères à Pontoise,V1,313690,2.118567,48.959529
87386425,87381657,"00",6,14,338000,Ligne d'Achères à Pontoise,V1,313691,2.117784,48.959681
87386425,87381657,"00",6,15,338000,Ligne d'Achères à Pontoise,V1,313692,2.11164,48.960402
87386425,87381657,"00",6,16,338000,Ligne d'Achères à Pontoise,V1,313693,2.107704,48.960291
87386425,87381657,"00",6,17,338000,Ligne d'Achères à Pontoise,V1,313694,2.103738,48.959797
87386425,87381657,"00",6,18,338000,Ligne d'Achères à Pontoise,V1,313695,2.103258,48.959699
87386425,87381657,"00",6,19,338000,Ligne d'Achères à Pontoise,V1,313696,2.0998,48.958817
87386425,87381657,"00",6,20,338000,Ligne d'Achères à Pontoise,V1,313697,2.097372,48.958033
87386425,87381657,"00",6,21,338000,Ligne d'Achères à Pontoise,V1,313698,2.094498,48.956872
