CODE_LIGNE;LIBELLE_LIGNE;NOM_VOIE;IDRESEAU;X Debut (WGS84);Y Debut (WGS84);X Fin (WGS84);Y Fin (WGS84)
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308563;2,073467648;49,00283403;2,073636033;49,00397586
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308564;2,073636033;49,00397586;2,076254898;49,00942767
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308565;2,076254898;49,00942767;2,076694699;49,00989208
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308566;2,076694699;49,00989208;2,078332177;49,01344188
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308567;2,078332177;49,01344188;2,08077612;49,01792895
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308568;2,08077612;49,01792895;2,084079549;49,0198607
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308569;2,084079549;49,0198607;2,086283214;49,02108556
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308570;2,086283214;49,02108556;2,089724956;49,02403322
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308571;2,089724956;49,02403322;2,089824925;49,02420164
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308572;2,089824925;49,02420164;2,087977285;49,03164082
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308573;2,087977285;49,03164082;2,083127444;49,0341838
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308574;2,083127444;49,0341838;2,079905862;49,0361471
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308575;2,079905862;49,0361471;2,078348625;49,03725481
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308576;2,078348625;49,03725481;2,076283567;49,03877019
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308577;2,076283567;49,03877019;2,074641167;49,03996251
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308578;2,074641167;49,03996251;2,074007132;49,04042897
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308579;2,074007132;49,04042897;2,071548766;49,04266494
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308580;2,071548766;49,04266494;2,070678011;49,04364498
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308581;2,070678011;49,04364498;2,065376713;49,04655133
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308582;2,065376713;49,04655133;2,064993034;49,04664226
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308583;2,064993034;49,04664226;2,061473401;49,04702748
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308584;2,061473401;49,04702748;2,058781938;49,04719356
326000;Ligne de la bifurcation de Neuville à Cergy-Préfecture;V1;308585;2,058781938;49,04719356;2,021280024;49,05091897
